,0,1,2
0,only_Structural,EM,AUC=0.825 (0.801-0.849)
1,only_Structural,GAIN,AUC=0.685 (0.657-0.713)
2,only_Structural,KNN,AUC=0.784 (0.758-0.810)
3,only_Structural,MICE,AUC=0.785 (0.759-0.811)
4,only_Structural,MIDA,AUC=0.773 (0.747-0.799)
5,only_Structural,Mean,AUC=0.791 (0.765-0.816)
6,only_Structural,Spectrum,AUC=0.839 (0.815-0.862)
7,with_Diagnosis,EM,AUC=0.891 (0.871-0.911)
8,with_Diagnosis,GAIN,AUC=0.872 (0.850-0.893)
9,with_Diagnosis,KNN,AUC=0.882 (0.861-0.902)
10,with_Diagnosis,MICE,AUC=0.878 (0.857-0.899)
11,with_Diagnosis,MIDA,AUC=0.878 (0.856-0.899)
12,with_Diagnosis,Mean,AUC=0.875 (0.854-0.896)
13,with_Diagnosis,Spectrum,AUC=0.899 (0.880-0.919)
14,with_Diagnosis,without-S,AUC=0.866 (0.845-0.888)
